fnlwgt,education_num,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,age_generalized,education_generalized,occupation_generalized,workclass_generalized,marital_generalized,native_generalized,suppressed
77516,13,Not-in-family,White,Male,2174,0,40,<=50K,25-39,HigherEd,Adm-clerical,Government,Single,USA,False
83311,13,Husband,White,Male,0,0,13,<=50K,40-59,HigherEd,White-collar,Self-Employed,Married,USA,False
215646,9,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Handlers-cleaners,Private,Separated,USA,False
234721,7,Husband,Black,Male,0,0,40,<=50K,40-59,11th,Handlers-cleaners,Private,Married,USA,False
338409,13,Wife,Black,Female,0,0,40,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,Other,False
284582,14,Wife,White,Female,0,0,40,<=50K,25-39,HigherEd,White-collar,Private,Married,USA,False
160187,5,Not-in-family,Black,Female,0,0,16,<=50K,40-59,9th,Service,Private,Married-spouse-absent,Other,True
209642,9,Husband,White,Male,0,0,45,>50K,40-59,Secondary,White-collar,Self-Employed,Married,USA,False
45781,14,Not-in-family,White,Female,14084,0,50,>50K,25-39,HigherEd,Prof-specialty,Private,Single,USA,False
159449,13,Husband,White,Male,5178,0,40,>50K,40-59,HigherEd,White-collar,Private,Married,USA,False
280464,10,Husband,Black,Male,0,0,80,>50K,25-39,Secondary,White-collar,Private,Married,USA,False
141297,13,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,25-39,HigherEd,Prof-specialty,Government,Married,Other,False
122272,13,Own-child,White,Female,0,0,30,<=50K,<25,HigherEd,Adm-clerical,Private,Single,USA,True
205019,12,Not-in-family,Black,Male,0,0,50,<=50K,25-39,Assoc-acdm,Sales,Private,Single,USA,False
121772,11,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,40-59,Assoc-voc,Blue-collar,Private,Married,Other,False
245487,4,Husband,Amer-Indian-Eskimo,Male,0,0,45,<=50K,25-39,7th-8th,Transport-moving,Private,Married,Other,True
176756,9,Own-child,White,Male,0,0,35,<=50K,25-39,Secondary,Farming-fishing,Self-Employed,Single,USA,False
186824,9,Unmarried,White,Male,0,0,40,<=50K,25-39,Secondary,Machine-op-inspct,Private,Single,USA,False
28887,7,Husband,White,Male,0,0,50,<=50K,25-39,11th,Sales,Private,Married,USA,True
292175,14,Unmarried,White,Female,0,0,45,>50K,40-59,HigherEd,White-collar,Self-Employed,Separated,USA,False
193524,16,Husband,White,Male,0,0,60,>50K,40-59,Doctorate,Prof-specialty,Private,Married,USA,False
302146,9,Unmarried,Black,Female,0,0,20,<=50K,40-59,Secondary,Service,Private,Separated,USA,False
76845,5,Husband,Black,Male,0,0,40,<=50K,25-39,9th,Farming-fishing,Government,Married,USA,True
117037,7,Husband,White,Male,0,2042,40,<=50K,40-59,11th,Transport-moving,Private,Married,USA,False
109015,9,Unmarried,White,Female,0,0,40,<=50K,40-59,Secondary,White-collar,Private,Separated,USA,False
216851,13,Husband,White,Male,0,0,40,>50K,40-59,HigherEd,White-collar,Local-gov,Married,USA,False
168294,9,Own-child,White,Male,0,0,40,<=50K,<25,Secondary,Blue-collar,Private,Single,USA,True
180211,10,Husband,Asian-Pac-Islander,Male,0,0,60,>50K,40-59,Secondary,?,?,Married,Other,False
367260,9,Not-in-family,White,Male,0,0,80,<=50K,25-39,Secondary,White-collar,Private,Separated,USA,False
193366,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
190709,12,Not-in-family,White,Male,0,0,52,<=50K,<25,Assoc-acdm,Protective-serv,Local-gov,Single,USA,True
