age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
26-40,Government,77516,Higher,13,Single,Adm-clerical,Not-in-family,White,Male,2174,0,40,North America,<=50K
41-60,Self-Employed,83311,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,13,North America,<=50K
26-40,Employed,215646,Middle,9,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,North America,<=50K
41-60,Employed,234721,Middle,7,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,North America,<=50K
26-40,Employed,338409,Higher,13,Married,Prof-specialty,Wife,Black,Female,0,0,40,Other,<=50K
26-40,Employed,284582,Higher,14,Married,Exec-managerial,Wife,White,Female,0,0,40,North America,<=50K
41-60,Employed,160187,Middle,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Other,<=50K
41-60,Self-Employed,209642,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,45,North America,>50K
26-40,Employed,45781,Higher,14,Single,Prof-specialty,Not-in-family,White,Female,14084,0,50,North America,>50K
41-60,Employed,159449,Higher,13,Married,Exec-managerial,Husband,White,Male,5178,0,40,North America,>50K
26-40,Employed,280464,High,10,Married,Exec-managerial,Husband,Black,Male,0,0,80,North America,>50K
26-40,Government,141297,Higher,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Asia,>50K
0-25,Employed,122272,Higher,13,Single,Adm-clerical,Own-child,White,Female,0,0,30,North America,<=50K
26-40,Employed,205019,High,12,Single,Sales,Not-in-family,Black,Male,0,0,50,North America,<=50K
26-40,Employed,121772,High,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Other,>50K
26-40,Employed,245487,Low,4,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,North America,<=50K
0-25,Self-Employed,176756,Middle,9,Single,Farming-fishing,Own-child,White,Male,0,0,35,North America,<=50K
26-40,Employed,186824,Middle,9,Single,Machine-op-inspct,Unmarried,White,Male,0,0,40,North America,<=50K
26-40,Employed,28887,Middle,7,Married,Sales,Husband,White,Male,0,0,50,North America,<=50K
41-60,Self-Employed,292175,Higher,14,Separated,Exec-managerial,Unmarried,White,Female,0,0,45,North America,>50K
26-40,Employed,193524,Higher,16,Married,Prof-specialty,Husband,White,Male,0,0,60,North America,>50K
41-60,Employed,302146,Middle,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,North America,<=50K
26-40,Government,76845,Middle,5,Married,Farming-fishing,Husband,Black,Male,0,0,40,North America,<=50K
41-60,Employed,117037,Middle,7,Married,Transport-moving,Husband,White,Male,0,2042,40,North America,<=50K
41-60,Employed,109015,Middle,9,Separated,Tech-support,Unmarried,White,Female,0,0,40,North America,<=50K
41-60,Government,216851,Higher,13,Married,Tech-support,Husband,White,Male,0,0,40,North America,>50K
0-25,Employed,168294,Middle,9,Single,Craft-repair,Own-child,White,Male,0,0,40,North America,<=50K
41-60,?,180211,High,10,Married,?,Husband,Asian-Pac-Islander,Male,0,0,60,Other,>50K
26-40,Employed,367260,Middle,9,Separated,Exec-managerial,Not-in-family,White,Male,0,0,80,North America,<=50K
