age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
26-40,Government,77516,Higher,13,Single,Adm-clerical,Not-in-family,White,Male,2174,0,21-40,North America,<=50K
26-40,Employed,215646,Middle,9,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,234721,Middle,7,Married,Handlers-cleaners,Husband,Black,Male,0,0,21-40,North America,<=50K
26-40,Employed,284582,Higher,14,Married,Exec-managerial,Wife,White,Female,0,0,21-40,North America,<=50K
41-60,Self-Employed,209642,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,41-60,North America,>50K
26-40,Employed,45781,Higher,14,Single,Prof-specialty,Not-in-family,White,Female,14084,0,41-60,North America,>50K
41-60,Employed,159449,Higher,13,Married,Exec-managerial,Husband,White,Male,5178,0,21-40,North America,>50K
0-25,Employed,122272,Higher,13,Single,Adm-clerical,Own-child,White,Female,0,0,21-40,North America,<=50K
0-25,Self-Employed,176756,Middle,9,Single,Farming-fishing,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,186824,Middle,9,Single,Machine-op-inspct,Unmarried,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,28887,Middle,7,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,193524,Higher,16,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,>50K
41-60,Employed,302146,Middle,9,Separated,Other-service,Unmarried,Black,Female,0,0,0-20,North America,<=50K
41-60,Employed,117037,Middle,7,Married,Transport-moving,Husband,White,Male,0,2042,21-40,North America,<=50K
41-60,Employed,109015,Middle,9,Separated,Tech-support,Unmarried,White,Female,0,0,21-40,North America,<=50K
41-60,Government,216851,Higher,13,Married,Tech-support,Husband,White,Male,0,0,21-40,North America,>50K
0-25,Employed,168294,Middle,9,Single,Craft-repair,Own-child,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,193366,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,386940,Higher,13,Separated,Exec-managerial,Own-child,White,Male,0,1408,21-40,North America,<=50K
26-40,Government,59951,High,10,Married,Adm-clerical,Own-child,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,197200,High,10,Single,Machine-op-inspct,Own-child,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,544091,Middle,9,Married,Adm-clerical,Wife,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,507875,Middle,5,Married,Machine-op-inspct,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Self-Employed,88506,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,94638,Middle,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,289980,Middle,9,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,21-40,North America,<=50K
41-60,Government,337895,Higher,13,Married,Prof-specialty,Husband,Black,Male,0,0,21-40,North America,>50K
41-60,Employed,144361,Middle,9,Married,Machine-op-inspct,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,128354,Higher,14,Separated,Exec-managerial,Unmarried,White,Female,0,0,21-40,North America,<=50K
41-60,Government,101603,High,11,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,271466,High,11,Single,Prof-specialty,Not-in-family,White,Male,0,0,41-60,North America,<=50K
41-60,Government,251585,Higher,13,Separated,Exec-managerial,Not-in-family,White,Male,0,0,41-60,North America,>50K
